TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20230101232237,1,27,18,1,0,0,0
20230101232237,2,24,20,2,0,0,0
20230101232240,1,37,18,2,0,0,0
20230101232240,2,43,20,1,0,0,0
20230101232240,3,7,22,1,0,0,0
20230101232240,4,4,22,1,0,0,0
20230101232251,1,73,18,2,0,0,0
20230101232251,2,74,25,2,0,0,0
20230101232274,1,61,18,2,0,0,0
20230101232274,2,57,20,1,0,0,0
20230101232274,3,25,22,1,0,0,0
20230101232283,1,52,18,2,0,0,0
20230101232283,2,57,20,1,0,0,0
20230101232283,3,25,22,1,0,0,0
20230101232283,4,22,22,1,0,0,0
20230101232283,5,76,24,2,0,0,0
20230101232290,1,36,18,1,0,0,0
20230101232290,2,33,20,2,0,0,0
20230101232290,3,8,22,1,0,0,0
20230101232290,4,6,22,2,0,0,0
20230101232308,1,47,18,1,0,0,0
20230101232308,2,46,20,2,0,0,0
20230101232308,3,16,22,2,0,0,0
20230101232308,5,16,27,2,0,0,0
20230101232308,6,12,27,1,0,0,0
20230101232313,1,60,18,1,0,0,0
20230101232313,2,60,20,2,0,0,0
20230101232315,1,60,18,1,0,0,0
20230101232315,2,60,20,2,0,0,0
20230101232321,1,66,18,2,0,0,0
20230101232321,2,74,20,1,0,0,0
20230101232326,1,73,18,2,0,0,0
20230101232326,2,77,20,2,0,0,0
20230101232328,1,72,19,2,0,0,0
20230101232339,1,80,18,1,0,0,0
20230101232339,2,77,20,2,0,0,0
20230101232343,1,61,18,2,0,0,0
20230101232343,2,69,20,1,0,0,0
20230101232344,1,60,19,1,0,0,0
20230101232344,2,56,21,2,0,0,0
20230101232382,1,64,18,2,0,0,0
20230101232382,2,60,20,1,0,0,0
20230101232388,1,61,18,1,0,0,0
20230101232388,2,52,20,2,0,0,0
20230101232394,1,85,18,2,60,0,0
20230101232394,2,62,22,2,0,0,0
20230101232394,3,27,23,2,0,0,0
20230101232395,1,32,18,2,0,0,0
20230101232395,2,5,22,2,0,0,0
20230101232395,3,8,22,2,0,0,0
20230101232395,4,13,22,1,0,0,0
20230101232397,1,63,18,2,0,0,0
20230101232397,2,65,20,1,0,0,0
20230101232415,1,52,18,2,0,0,0
20230101232415,2,54,20,1,0,0,0
20230101232415,3,31,22,2,0,0,0
20230101232434,1,72,18,1,0,0,0
20230101232434,2,66,20,2,0,0,0
20230101232469,1,58,19,1,0,0,0
20230101232479,1,36,18,1,0,0,0
20230101232479,2,36,20,2,0,0,0
20230101232479,3,4,22,2,0,0,0
20230101232480,1,35,19,2,0,0,0
20230101232492,1,50,19,2,0,0,0
20230101232500,1,49,18,1,0,0,0
20230101232500,2,36,22,2,0,0,0
20230101232500,3,14,23,1,0,0,0
20230101232500,4,12,23,2,0,0,0
20230101232507,1,80,18,1,0,0,0
20230101232507,2,69,20,2,0,0,0
20230101232525,1,66,19,2,0,0,0
20230101232539,1,80,18,1,0,0,0
20230101232539,2,80,20,2,0,0,0
20230101232551,1,70,19,2,0,0,0
20230101232558,1,17,18,1,0,0,0
20230101232558,2,53,24,1,0,0,0
20230101232558,3,48,24,2,0,0,0
20230101232559,1,58,18,2,0,0,0
20230101232559,2,70,20,1,0,0,0
20230101232559,3,18,22,1,0,0,0
20230101232562,1,67,18,1,0,0,0
20230101232562,2,69,20,2,0,0,0
20230101232562,3,40,22,1,0,0,0
20230101232577,1,69,18,1,0,0,0
20230101232577,2,66,20,2,0,0,0
20230110220559,1,21,18,1,0,0,0
20230110220559,2,51,24,2,0,0,0
20230110220718,1,17,18,2,0,0,0
20230110220718,2,46,24,2,0,0,0
20230110220718,3,19,25,2,0,0,0
20230110220729,1,30,18,2,0,0,0
20230110220729,2,39,21,1,0,0,0
20230110221465,1,24,19,1,0,0,0
20230110221465,2,23,29,1,0,0,0
20230110221488,1,63,18,2,0,0,0
20230110221488,2,62,20,1,0,0,0
20230110221705,1,39,18,1,0,0,0
20230110221705,2,65,24,2,0,0,0
20230110221705,3,56,24,1,0,0,0
20230110221771,1,61,18,2,0,0,0
20230110221771,2,60,20,1,0,0,0
20230111220001,1,19,18,1,0,0,0
20230111220001,2,53,24,2,0,0,0
20230111220043,1,59,19,2,0,0,0
20230111220051,1,40,18,1,0,0,0
20230111220051,2,10,22,2,0,0,0
20230111220063,1,54,18,2,0,0,0
20230111220063,2,60,20,1,0,0,0
20230111220063,3,22,22,2,0,0,0
20230111220063,4,15,22,2,0,0,0
20230111220063,5,76,25,2,0,0,0
20230111220071,1,66,18,1,0,0,0
20230111220071,2,54,20,2,0,0,0
20230111220071,3,30,22,2,0,0,0
20230111220071,4,23,22,1,0,0,0
20230111220081,1,80,18,2,0,0,0
20230111220081,2,85,20,1,60,0,0
20230111220509,1,65,18,2,0,0,0
20230111220509,2,68,20,1,0,0,0
20230111220571,1,80,19,2,0,0,0
20230111220575,1,54,18,2,0,0,0
20230111220575,3,8,23,2,0,0,0
20230111220580,1,69,19,2,0,0,0
20230111220594,1,67,19,2,0,0,0
20230111220595,1,41,18,1,0,0,0
20230111220595,2,70,24,1,0,0,0
20230111220595,3,71,24,2,0,0,0
20230111220598,1,44,18,2,0,0,0
20230111220598,2,44,20,1,0,0,0
20230111220598,3,16,22,1,0,0,0
20230111220598,4,26,22,1,0,0,0
20230111220598,5,2,23,1,0,0,0
20230111220598,6,23,26,2,0,0,0
20230111220606,1,58,18,2,0,0,0
20230111220606,2,54,20,1,0,0,0
20230111220626,1,51,18,2,0,0,0
20230111220626,2,53,20,1,0,0,0
20230111220626,3,11,22,2,0,0,0
20230111220629,1,65,18,2,0,0,0
20230111220629,2,35,22,2,0,0,0
20230111220629,3,41,22,1,0,0,0
20230111220629,4,13,23,1,0,0,0
20230111220629,5,9,23,1,0,0,0
20230111220643,1,53,18,1,0,0,0
20230111220643,2,48,20,2,0,0,0
20230111220643,3,6,22,1,0,0,0
20230111220657,1,23,18,2,0,0,0
20230111220657,2,52,24,2,0,0,0
20230111220657,3,55,24,1,0,0,0
20230111220657,4,21,25,2,0,0,0
20230111220659,1,38,19,2,0,0,0
20230111220671,1,70,18,2,0,0,0
20230111220671,3,76,25,1,0,0,0
20230111220671,4,69,25,2,0,0,0
20230111220671,5,49,26,1,0,0,0
20230111220704,1,80,18,2,0,0,0
20230111220704,2,85,20,1,60,0,0
20230111220710,1,40,18,1,0,0,0
20230111220710,2,39,20,2,0,0,0
20230111220710,3,8,22,2,0,0,0
20230111220710,4,6,22,1,0,0,0
20230111220711,1,68,19,2,0,0,0
20230111220711,2,72,28,1,0,0,0
20230111220714,1,42,18,2,0,0,0
20230111220714,2,44,20,1,0,0,0
